Unnamed: 0,cluster_label,silhouette_score,davies_bouldin_score,calinski_harabasz_score,clusters_in_window,win_eps,min_dist_between_points,min_dist_between_centroids,max_dist_in_cluster,min_dist_in_cluster,first_timestamp,last_timestamp,win_number,cluster_size,points,Selected EPS,new_cluster_label,avg_height,turn_rate,bearing,trajectory_curvature,angular_acceleration,angular_velocity,distance_traveled,displacement,jerk,vertical_acceleration,up_down_direction,angle_to_horizon,average_speed,average_velocity_magnitude,average_velocity_direction
0,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,12.101281179168254,0.0,2012-02-14 02:00:44,2012-02-14 03:00:11,0,13.0,"[[1329184844.0, 36.701858, 3.985513, 670.0], [1329185110.0, 36.70185, 3.985472, 667.9], [1329185412.0, 36.701815, 3.985495, 668.8], [1329185711.0, 36.701855, 3.985515, 666.7], [1329186010.0, 36.701822, 3.985484, 667.6], [1329186312.0, 36.70184, 3.985496, 670.1], [1329186611.0, 36.701825, 3.98547, 661.2], [1329186910.0, 36.701819, 3.985486, 660.4], [1329187212.0, 36.701837, 3.98548, 671.5], [1329187510.0, 36.701839, 3.985476, 667.6], [1329187811.0, 36.701852, 3.985494, 671.9], [1329188110.0, 36.701808, 3.985497, 666.9], [1329188411.0, 36.701855, 3.985496, 664.3]]",200.0,0,667.3,544.9619270105974,171.08474411845995,-8.168891227101268,-112.68259217159189,-26.579738802898394,68.37099251470976,6.0144847927623495,1.0564806715221309,-1.7081797603885545,-0.14193843787544,-5.866684501363729,19.1614234006706,19.1614234006706,171.08474411845995
1,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,12.101281179168254,0.0,2012-02-14 02:25:12,2012-02-14 03:20:10,1,12.0,"[[1329186312.0, 36.70184, 3.985496, 670.1], [1329186611.0, 36.701825, 3.98547, 661.2], [1329186910.0, 36.701819, 3.985486, 660.4], [1329187212.0, 36.701837, 3.98548, 671.5], [1329187510.0, 36.701839, 3.985476, 667.6], [1329187811.0, 36.701852, 3.985494, 671.9], [1329188110.0, 36.701808, 3.985497, 666.9], [1329188411.0, 36.701855, 3.985496, 664.3], [1329188712.0, 36.701836, 3.985473, 667.9], [1329189011.0, 36.701838, 3.985482, 669.7], [1329189310.0, 36.701834, 3.985511, 661.0], [1329189610.0, 36.701842, 3.985529, 670.9]]",200.0,1,666.9499999999999,649.9864493214018,165.48629568749516,0.5865271071560315,-168.56931829476463,-62.84682646834631,70.96734372865303,3.762174076359497,33.87715457212635,0.18498993741919084,0.0606060606060606,-0.4316006951425816,21.505120106582538,21.505120106582538,165.48629568749516
2,0.0,0.4448372411109672,0.7818176959119771,6.808652887526636,2.0,200.0,inf,inf,28.183759685563537,0.0,2012-02-14 02:45:10,2012-02-14 03:30:12,2,10.0,"[[1329187510.0, 36.701839, 3.985476, 667.6], [1329187811.0, 36.701852, 3.985494, 671.9], [1329188110.0, 36.701808, 3.985497, 666.9], [1329188411.0, 36.701855, 3.985496, 664.3], [1329188712.0, 36.701836, 3.985473, 667.9], [1329189011.0, 36.701838, 3.985482, 669.7], [1329189310.0, 36.701834, 3.985511, 661.0], [1329189610.0, 36.701842, 3.985529, 670.9], [1329189910.0, 36.701751, 3.985478, 646.1], [1329190212.0, 36.701808, 3.985532, 668.1]]",200.0,2,665.44,764.9599786765039,144.01364340463104,18.069411595962205,-205.24156394472234,4.001918871410879,95.20681258916774,7.130861434998501,-31.291671449427504,0.10996197453184209,-0.1111111111111111,6.732344961655095,35.207183801109466,35.207183801109466,144.01364340463104
6,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,494.75125110567376,0.0,2012-02-14 03:45:10,2012-02-14 04:40:10,5,12.0,"[[1329191110.0, 36.705714, 3.960221, 640.3], [1329191411.0, 36.705785, 3.95939, 644.0], [1329191710.0, 36.705846, 3.958731, 647.7], [1329192010.0, 36.705715, 3.958089, 635.7], [1329192311.0, 36.705683, 3.957569, 645.3], [1329192610.0, 36.705762, 3.957176, 645.2], [1329192910.0, 36.70563, 3.956692, 646.9], [1329193211.0, 36.705567, 3.956572, 645.2], [1329193511.0, 36.705456, 3.956394, 644.3], [1329193810.0, 36.705447, 3.956165, 644.1], [1329194110.0, 36.705467, 3.955908, 642.7], [1329194410.0, 36.705351, 3.955787, 648.7]]",200.0,3,644.175,55.94931201794734,189.98279528116794,0.1106017594560641,17.97692657309978,16.251393496059684,511.6451773300845,494.75125110562607,36.98345006542066,2.5372221307509766,0.10687334289668038,1.0935989097959102,155.02185169388542,155.02185169388542,189.98279528116794
7,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,311.9153386222947,0.0,2012-02-14 04:05:11,2012-02-14 05:00:09,6,12.0,"[[1329192311.0, 36.705683, 3.957569, 645.3], [1329192610.0, 36.705762, 3.957176, 645.2], [1329192910.0, 36.70563, 3.956692, 646.9], [1329193211.0, 36.705567, 3.956572, 645.2], [1329193511.0, 36.705456, 3.956394, 644.3], [1329193810.0, 36.705447, 3.956165, 644.1], [1329194110.0, 36.705467, 3.955908, 642.7], [1329194410.0, 36.705351, 3.955787, 648.7], [1329194709.0, 36.705191, 3.955426, 649.6], [1329195009.0, 36.705191, 3.955261, 652.3], [1329195309.0, 36.705306, 3.955038, 651.3], [1329195609.0, 36.705409, 3.954778, 652.6]]",200.0,4,647.35,68.16592644103592,187.27305119594286,-0.15805811587041346,-7.652862860716316,-3.4174173816972484,334.05946077122854,311.9153386222702,-32.8655221613377,2.2144407665135875,0.41222575117291005,1.5106113993801913,101.33036818609098,101.33036818609098,187.27305119594286
8,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,280.8261509775984,0.0,2012-02-14 04:25:11,2012-02-14 05:20:10,7,12.0,"[[1329193511.0, 36.705456, 3.956394, 644.3], [1329193810.0, 36.705447, 3.956165, 644.1], [1329194110.0, 36.705467, 3.955908, 642.7], [1329194410.0, 36.705351, 3.955787, 648.7], [1329194709.0, 36.705191, 3.955426, 649.6], [1329195009.0, 36.705191, 3.955261, 652.3], [1329195309.0, 36.705306, 3.955038, 651.3], [1329195609.0, 36.705409, 3.954778, 652.6], [1329195909.0, 36.705407, 3.954698, 672.0], [1329196210.0, 36.705835, 3.954345, 652.3], [1329196510.0, 36.705773, 3.954026, 652.7], [1329196810.0, 36.705883, 3.953906, 653.4]]",200.0,5,651.3333333333334,106.99991586882038,174.19404358774412,-0.36276240453156944,-17.102772590658574,-14.997939982187887,335.45145250973036,280.82615097753103,-86.97719167945343,2.7781180733657944,0.7481134002767627,4.707894898099017,101.65716185086954,101.65716185086954,174.19404358774412
9,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,356.17063588160823,0.0,2012-02-14 04:45:09,2012-02-14 05:40:10,8,12.0,"[[1329194709.0, 36.705191, 3.955426, 649.6], [1329195009.0, 36.705191, 3.955261, 652.3], [1329195309.0, 36.705306, 3.955038, 651.3], [1329195609.0, 36.705409, 3.954778, 652.6], [1329195909.0, 36.705407, 3.954698, 672.0], [1329196210.0, 36.705835, 3.954345, 652.3], [1329196510.0, 36.705773, 3.954026, 652.7], [1329196810.0, 36.705883, 3.953906, 653.4], [1329197108.0, 36.705955, 3.953657, 653.3], [1329197408.0, 36.706139, 3.953387, 652.1], [1329197708.0, 36.706216, 3.953028, 656.0], [1329198010.0, 36.706111, 3.952361, 666.6]]",200.0,6,655.35,103.35160332646592,163.3907714197177,-0.15354513979893775,18.103264112912353,2.866553914111485,399.7799867909847,356.1706358815577,102.46715813844789,5.149872329862756,0.5038314736557788,4.372926690849763,120.98678598363978,120.98678598363978,163.3907714197177
10,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,413.31933401535866,0.0,2012-02-14 05:05:09,2012-02-14 06:00:40,9,12.0,"[[1329195909.0, 36.705407, 3.954698, 672.0], [1329196210.0, 36.705835, 3.954345, 652.3], [1329196510.0, 36.705773, 3.954026, 652.7], [1329196810.0, 36.705883, 3.953906, 653.4], [1329197108.0, 36.705955, 3.953657, 653.3], [1329197408.0, 36.706139, 3.953387, 652.1], [1329197708.0, 36.706216, 3.953028, 656.0], [1329198010.0, 36.706111, 3.952361, 666.6], [1329198311.0, 36.706363, 3.951856, 638.2], [1329198610.0, 36.706424, 3.951556, 658.4], [1329198914.0, 36.706433, 3.951483, 652.9], [1329199240.0, 36.706495, 3.951147, 653.1]]",200.0,7,655.0833333333333,86.7595514263916,162.6621940228492,0.09366625766680514,-23.882815853651316,13.30220895404734,457.1571620236723,413.3193340152916,219.82632107882637,-5.66275549174215,-0.0303030303030303,-2.457175505734826,137.38716497262587,137.38716497262587,162.6621940228492
11,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,381.6951236374593,0.0,2012-02-14 05:25:08,2012-02-14 06:20:09,10,12.0,"[[1329197108.0, 36.705955, 3.953657, 653.3], [1329197408.0, 36.706139, 3.953387, 652.1], [1329197708.0, 36.706216, 3.953028, 656.0], [1329198010.0, 36.706111, 3.952361, 666.6], [1329198311.0, 36.706363, 3.951856, 638.2], [1329198610.0, 36.706424, 3.951556, 658.4], [1329198914.0, 36.706433, 3.951483, 652.9], [1329199240.0, 36.706495, 3.951147, 653.1], [1329199508.0, 36.706397, 3.950771, 652.0], [1329199810.0, 36.706342, 3.950357, 657.2], [1329200109.0, 36.706279, 3.95029, 654.7], [1329200409.0, 36.706248, 3.950237, 657.4]]",200.0,8,654.3249999999999,60.09733792778932,180.256511290384,0.06689838421861687,-10.284767753462896,20.535545923548234,417.2309670196794,381.6951236374264,-43.03374028184771,1.2345417998542174,0.1212121212121212,-0.09262818694137015,126.77529173398793,126.77529173398793,180.256511290384
12,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,296.52057582767554,0.0,2012-02-14 05:45:11,2012-02-14 06:40:07,11,12.0,"[[1329198311.0, 36.706363, 3.951856, 638.2], [1329198610.0, 36.706424, 3.951556, 658.4], [1329198914.0, 36.706433, 3.951483, 652.9], [1329199240.0, 36.706495, 3.951147, 653.1], [1329199508.0, 36.706397, 3.950771, 652.0], [1329199810.0, 36.706342, 3.950357, 657.2], [1329200109.0, 36.706279, 3.95029, 654.7], [1329200409.0, 36.706248, 3.950237, 657.4], [1329200709.0, 36.70609, 3.950001, 654.8], [1329201009.0, 36.706187, 3.949762, 652.7], [1329201307.0, 36.706328, 3.9493, 653.1], [1329201607.0, 36.706383, 3.949193, 653.6]]",200.0,9,653.1750000000001,53.90019789462046,183.11483757819167,-0.15042057612630597,-2.6101103809622055,-6.267579394523805,322.7158260565558,296.52057582766196,-55.452962432013436,4.652278490698638,0.10687334289668038,0.3264126120554148,98.46503645461404,98.46503645461404,183.11483757819167
